density comp1,thermal speed comp1,density comp2,thermal speed comp2,density comp3,thermal speed comp3,pos_x,pos_y,pos_z,r,long,lat,magnetic_latitude,magnetic_colatitude,distance_from_dipole
0.0,0.0,0.0,0.0,0.0754,734.0,-3.2758005471934837,3.792840937732857,-1.4120960656181352,5.206777016780112,130.81651318342927,-15.735893689999203,-86.90287570141224,176.90287570141223,5.103839895842081
0.0,0.0,0.0,0.0,0.0882,630.0,-3.3538197494834217,3.6544447306819046,-1.2591948776856043,5.117484239509043,132.54375856192775,-14.244331514083774,-85.6881726400628,175.6881726400628,5.022401172571916
0.0,0.0,0.0,0.0,0.0949,671.0,-3.3835496279550026,3.5985026985429607,-1.1979811205660609,5.082596631790499,133.2366195024564,-13.63304085195526,-84.9671850317879,174.96718503178792,4.9907572705629795
0.0,0.0,0.0,0.0,0.104,668.0,-3.412426221864327,3.542243340921379,-1.1367381890518509,5.048199116161919,133.9306308111249,-13.01328494460477,-84.17552008523064,174.17552008523066,4.959662272442994
0.0389,70.1,0.0,0.0,0.103,674.0,-3.426542736881557,3.5139980734649825,-1.1061060687271784,5.031187555961957,134.2780740515482,-12.700216911471555,-83.7603968922207,173.76039689222068,4.944324102265318
0.0704,52.1,0.0,0.0,0.0996,704.0,-3.454128658838405,3.4572832460161487,-1.0448211209971476,4.997545738647571,134.97384839431834,-12.067672600197321,-82.90091019314431,172.9009101931443,4.914073446608432
0.366,49.2,0.0,0.0,0.116,647.0,-3.4938793394641685,3.3716711621031283,-0.952843843316855,4.948057260565935,136.0197686844107,-11.10276278241843,-81.55624982626344,171.55624982626344,4.869782895665897
0.291,31.0,0.174,76.3,0.111,648.0,-3.506692645489228,3.342995468412113,-0.9221719910168118,4.931826557449894,136.3690218041786,-10.776818076331136,-81.0964576838413,171.0964576838413,4.855314514403943
0.0,0.0,0.0,0.0,0.116,782.0,-3.515782039670247,3.3223081234780656,-0.9000850824317975,4.920224362101029,136.62066922102255,-10.540807618254524,-80.76238005725435,170.76238005725435,4.844990342176013
0.295,40.2,0.117,85.6,0.117,599.0,-3.547654013705082,3.2473222641161805,-0.8202994484588332,4.878918125273705,137.53077401157614,-9.679193795008509,-79.53723944520443,169.53723944520445,4.808363272878512
0.396,37.1,0.145,107.0,0.12,579.0,-3.5557435000016753,3.227639030271602,-0.799424584990668,4.868269221666389,137.76917326080823,-9.451417580801241,-79.21242624040543,169.21242624040545,4.798954747725709
0.52,34.9,0.208,85.5,0.142,539.0,-3.5902011407147643,3.140475975649538,-0.707305355455046,4.822075740827481,138.8226629169312,-8.434615862630071,-77.76062942869846,167.76062942869845,4.758314622346887
0.436,42.6,0.132,91.6,0.148,520.0,-3.6012397720792064,3.1113064486285693,-0.6765886342569306,4.80696659997638,139.17448500552038,-8.091345168166727,-77.27041355830099,167.270413558301,4.745085994080704
0.361,42.7,0.101,84.5,0.133,537.0,-3.6120537656777274,3.0820818096312173,-0.6458670429936912,4.792004270097399,139.5266416211684,-7.745907088201028,-76.77730028630253,166.77730028630253,4.732018801205598
0.363,40.7,0.0794,84.4,0.141,523.0,-3.6226425264146296,3.052803556537528,-0.6151407590710717,4.777190239300345,139.8791358834928,-7.398303072527782,-76.28140974119317,166.28140974119316,4.719114479277265
0.317,42.7,0.0315,83.9,0.148,514.0,-3.633005468140513,3.0234731955013507,-0.5844099640991663,4.7625260000962095,140.23197095713093,-7.048535155328923,-75.78284850497853,165.78284850497855,4.706374462078559
0.343,37.0,0.029,147.0,0.172,501.0,-3.662733653779932,2.935184651680964,-0.49219238984259217,4.719447012798698,141.2925533589008,-5.986277366323701,-74.27204736645902,164.27204736645902,4.669154537246943
0.406,28.4,0.0971,92.0,0.175,515.0,-3.672187641006863,2.9056610875603486,-0.46144544852936564,4.705396936337507,141.64678422255764,-5.627886327677225,-73.76366845217119,163.76366845217117,4.6570860203847975
0.333,37.1,0.0,0.0,0.172,532.0,-3.6788527957279227,2.8843771232705606,-0.439306086837772,4.69537848525701,141.90204410810534,-5.368524102925922,-73.39623381537787,163.39623381537785,4.648503000882656
0.28,47.2,0.0778,234.0,0.174,511.0,-3.701932193270176,2.8073339657699554,-0.3593426433140374,4.659887669701892,142.8253974522408,-4.422698270316661,-72.05988419205448,162.05988419205448,4.618256165374914
0.873,50.7,0.444,146.0,0.185,526.0,-3.7076343385621096,2.787412747719242,-0.3387088988433953,4.650908076149036,143.06402378572244,-4.176342672636974,-71.71277941610941,161.7127794161094,4.610644698093117
1.7,50.9,0.269,120.0,0.192,530.0,-3.7159422209694966,2.7576829185448295,-0.30794638301941785,4.637658099044429,143.42007271572112,-3.8073137944644215,-71.19361182108523,161.19361182108523,4.599445714494277
